no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
28,*C#C,C3H3,0.07,0,0.07,0.07,0.07,0.07,0.07
29,OC*,C1H3O1,0.01,0.23087659,0.144,0.01,0.01,0.1775,0
30,NOC*,C1H4N1O1,0.28,0,0.28,0.28,,0.28,
31,COC*,C1H5O1,-0.1,0.084852814,-0.04,-0.1,-0.1,-0.01,0.08
32,CCOC*,C3H7O1,-0.1,0,-0.1,-0.1,,-0.1,
33,CC(=O)OC*,C3H5O2,0.04,0.042426407,0.07,0.04,0.04,0.085,0.04
34,COCC*,C3H7O1,-0.07,0,-0.07,-0.07,,-0.07,
35,CC(O)C*,C2H7O1,-0.12,0,-0.12,-0.12,-0.12,-0.12,-0.12
36,FC*,C1H2F1,0.11,0.004714045,0.113333333,0.11,0.11,0.115,0.12
37,ClC*,C1H2Cl1,0.11,0.043588989,0.1,0.11,0.11,0.096666667,0.11
38,BrC*,C1H2Br1,0.12,0.020615528,0.135,0.125,0.12,0.14,0.12
39,IC*,C1H2I1,0.1,0.023570226,0.116666667,0.1,0.1,0.125,0.1
40,ClCC*,C2H4Cl1,0.01,0,0.01,0.01,,0.01,
41,ClCCC*,C3H6Cl1,-0.05,0,-0.05,-0.05,,-0.05,
42,FCCC*,C3H6F1,-0.05,0,-0.05,-0.05,,-0.05,
43,BrCC*,C2H4Br1,0.02,0,0.02,0.02,,0.02,
44,ICC*,C2H4I1,0.02,0,0.02,0.02,,0.02,
45,ClC(Cl)C*,C2H3Cl2,0.06,0,0.06,0.06,,0.06,
46,ClC(Cl)(Cl)C*,C2H2Cl3,0.06,0,0.06,0.06,0.06,0.06,0.06
47,FC(F)(F)C*,C2H2F3,0.16,0.018856181,0.146666667,0.16,0.16,0.14,0.12
48,*CC#N,C2H2N1,0.17,0.026246693,0.183333333,0.17,,0.183333333,0.16
49,*CCC#N,C3H4N1,0.1,0,0.1,0.1,,0.1,
50,NC*,C1H4N1,-0.03,0,-0.03,-0.03,-0.03,-0.03,-0.03
51,CN(C)C*,C3H8N1,0,0,0,0,0,0,0
52,CC(=O)NC*,C3H6N1O1,-0.04,0.042426407,-0.01,-0.04,-0.04,0.005,0.05
53,*CN(=O)=O,C1H2N1O2,0.25,0,0.25,0.25,,0.25,
54,CN(C)CC*,C4H10N1,-0.03,0,-0.03,-0.03,,-0.03,
55,*COC1=CC=CC=C1,C7H7O1,0.06,0.00942809,0.053333333,0.06,0.06,0.05,0.06
56,SC*,C1H3S1,0.08,0,0.08,0.08,0.08,0.08,0.08
57,CSC*,C2H5S1,0.08,0,0.08,0.08,,0.08,
58,*CSC#N,C2H2N1S1,0.12,0,0.12,0.12,0.12,0.12,0.12
59,FC(F)(F)SC*,C2H2F3S1,0.12,0,0.12,0.12,0.12,0.12,0.12
60,CS(=O)C*,C2H5O1S1,0.1,0,0.1,0.1,,0.1,
61,CS(=O)(=O)C*,C2H5O2S1,0.18,0,0.18,0.18,0.18,0.18,0.18
62,[H]C(=O)C*,C2H3O1,0.01,0,0.01,0.01,,0.01,
63,OC(=O)C*,C2H3O2,-0.01,0,-0.01,-0.01,,-0.01,
64,CC(=O)C*,C3H5O1,-0.01,0,-0.01,-0.01,,-0.01,
65,COC(=O)C*,C3H5O2,0.13,0,0.13,0.13,0.13,0.13,0.13
66,NC(=O)C*,C2H4N1O1,0.06,0.014142136,0.05,0.06,0.06,0.045,0.06
67,OC(=O)CC*,C3H5O2,-0.03,0,-0.03,-0.03,-0.03,-0.03,-0.03
68,CC(=O)CC*,C4H7O1,-0.03,0,-0.03,-0.03,,-0.03,
69,CC(C)*,C3H7,-0.07,0.014142136,-0.06,-0.07,-0.07,-0.055,-0.04
70,CCC(C)*,C4H9,-0.08,0,-0.08,-0.08,-0.08,-0.08,
71,CCCC(C)*,C5H11,-0.07,0,-0.07,-0.07,,-0.07,
72,CCCCC(C)*,C6H13,-0.07,0,-0.07,-0.07,,-0.07,
73,CCCC(*)CC,C6H13,-0.07,0,-0.07,-0.07,,-0.07,
74,CCC(*)C(C)C,C6H13,-0.09,0,-0.09,-0.09,,-0.09,
75,CCCCC(*)CC,C7H15,-0.07,0,-0.07,-0.07,,-0.07,
76,CCC(*)CC(C)(C)C,C8H17,-0.09,0,-0.09,-0.09,,-0.09,
77,CCC(*)CC,C5H11,-0.07,0,-0.07,-0.07,,-0.07,
78,CCCC(*)CCC,C7H15,-0.07,0,-0.07,-0.07,,-0.07,
79,CC(C)C(*)C(C)C,C7H15,-0.09,0,-0.09,-0.09,,-0.09,
80,CC(C)C(*)C(C)(C)C,C8H17,-0.09,0,-0.09,-0.09,,-0.09,
81,CC(*)C(C)(C)C,C6H13,-0.09,0,-0.09,-0.09,,-0.09,
82,CC(*)CC(C)(C)C,C7H15,-0.07,0,-0.07,-0.07,,-0.07,
83,CCCCCCC(C)*,C9H11,-0.09,0,-0.09,-0.09,,-0.09,
84,CCCCC(*)CCCC,C9H19,-0.07,0,-0.07,-0.07,,-0.07,
85,CC(C)(C)C(*)C(C)(C)C,C9H19,-0.09,0,-0.09,-0.09,,-0.09,
86,CC(C)(C)CC(*)CC(C)(C)C,C11H23,-0.09,0,-0.09,-0.09,,-0.09,
87,CC(C)CC(*)CC(C)C,C9H19,-0.07,0,-0.07,-0.07,,-0.07,
88,CC(C)CC(*)CC(C)(C)C,C10H21,-0.09,0,-0.09,-0.09,,-0.09,
89,CC(*)C1=CC=CC=C1,C8H9,-0.07,0.02,-0.05,-0.05,,-0.05,-0.03
90,CCC(*)C1=CC=CC=C1,C9H11,-0.07,0,-0.07,-0.07,,-0.07,
91,*C(C1=CC=CC=C1)C1=CC=CC=C1,C13H11,-0.07,0.02,-0.05,-0.05,,-0.05,-0.03
92,CC(*)C=C,C4H7,-0.1,0,-0.1,-0.1,,-0.1,
93,CC(*)C#C,C4H5,-0.07,0,-0.07,-0.07,,-0.07,
94,*C(C#N)C#N,C3H1N2,0.53,0,0.53,0.53,0.53,0.53,0.53
95,FC(F)*,C1H1F2,0.32,0.014142136,0.31,0.32,0.32,0.305,0.29
96,ClC(Cl)*,C1H1Cl2,0.31,0.032998316,0.286666667,0.31,0.31,0.275,0.31
97,BrC(Br)*,C1H1Br2,0.31,0,0.31,0.31,0.31,0.31,0.31
98,IC(I)*,C1H1I2,0.26,0,0.26,0.26,0.26,0.26,0.26
99,CC(Cl)*,C2H4Cl1,0.11,0,0.11,0.11,,0.11,
100,CC(Br)*,C2H4Br1,0.12,0,0.12,0.12,,0.12,
101,CC(I)*,C2H4I1,0.12,0,0.12,0.12,,0.12,
102,FCC(F)*,C2H3F2,0.13,0,0.13,0.13,,0.13,
103,CC(O)*,C2H5O1,0.08,0.037712362,0.053333333,0.08,0.08,0.04,0.08
104,CCC(O)*,C3H7O1,0.02,0,0.02,0.02,,0.02,
105,CCCC(O)*,C4H9O1,0.02,0,0.02,0.02,,0.02,
106,CC(C)(C)C(O)*,C5H11O1,0,0,0,0,,0,
107,OC(*)C1=CC=CC=C1,C7H7O1,0,0,0,0,0,0,0
108,OCC(O)*,C2H5O2,0.04,0,0.04,0.04,,0.04,
109,OC(O)*,C1H3O2,0,0,0,0,,0,
110,OC(F)*,C1H2F1O1,0.55,0,0.55,0.55,,0.55,
111,COC(C)*,C3H7O1,-0.1,0,-0.1,-0.1,,-0.1,
112,CCC(*)OC,C4H9O1,-0.1,0,-0.1,-0.1,,-0.1,
113,COCC(*)OC,C4H9O2,-0.1,0,-0.1,-0.1,,-0.1,
114,*C1CC1,C3H5,-0.07,0.021213203,-0.07,-0.07,-0.07,-0.07,-0.07
115,*C1CCC1,C4H7,-0.13,0.037712362,-0.103333333,-0.13,-0.13,-0.09,-0.05
116,*C1CCCC1,C5H9,-0.13,0.043204938,-0.11,-0.13,,-0.11,-0.05
117,*C1CCCCC1,C6H11,-0.14,0.040620192,-0.12,-0.14,-0.14,-0.113333333,-0.05
118,*C1CCCCCC1,C7H13,-0.14,0,-0.14,-0.14,,-0.14,
119,CC(C)(C)*,C4H9,-0.09,0.043229041,-0.1275,-0.11,,-0.1275,-0.1
120,CCC(C)(C)*,C5H11,-0.09,0.015,-0.075,-0.075,,-0.075,-0.06
121,CC(C)C(C)(C)*,C6H13,-0.09,0,-0.09,-0.09,,-0.09,
122,CC(C)(C)C(C)(C)*,C7H15,-0.07,0,-0.07,-0.07,,-0.07,
123,CC(C)(C)CC(C)(C)*,C8H17,-0.09,0,-0.09,-0.09,,-0.09,
124,CC(C)(C)CC(C)(*)C(C)(C)C,C11H23,-0.07,0,-0.07,-0.07,,-0.07,
125,CC(C)C(C)(*)C(C)C,C8H17,-0.09,0,-0.09,-0.09,,-0.09,
126,CC(C)C(C)(*)C(C)(C)C,C9H19,-0.09,0,-0.09,-0.09,,-0.09,
127,CCC(*)(C(C)C)C(C)(C)C,C10H21,-0.09,0,-0.09,-0.09,,-0.09,
128,CCC(*)(CC)C(C)C,C8H17,-0.09,0,-0.09,-0.09,,-0.09,
129,CCC(*)(CC)C(C)(C)C,C9H19,-0.09,0,-0.09,-0.09,,-0.09,
130,CCC(*)(C(C)C)C(C)C,C9H19,-0.09,0,-0.09,-0.09,,-0.09,
131,CCC(*)(CC)CC,C7H15,-0.09,0.01,-0.08,-0.08,,-0.08,-0.07
132,CC(C)C(*)(C(C)C)C(C)C,C10H21,-0.09,0,-0.09,-0.09,,-0.09,
133,CC(*)(C1=CC=CC=C1)C1=CC=CC=C1,C14H13,-0.07,0,-0.07,-0.07,,-0.07,
134,CCC(*)(C1=CC=CC=C1)C1=CC=CC=C1,C15H15,-0.07,0,-0.07,-0.07,,-0.07,
135,*C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C19H15,0.01,0.01,0,0,,0,-0.01
136,CC(C)(O)*,C3H7O1,0.47,0,0.47,0.47,0.47,0.47,0.47
137,COC(C)(C)*,C4H9O1,-0.1,0,-0.1,-0.1,,-0.1,
138,CC(C)(Br)*,C3H6Br1,0.12,0,0.12,0.12,,0.12,
139,CC(Br)(Br)*,C2H3Br2,0.2,0,0.2,0.2,,0.2,
140,FC(F)(F)*,C1F3,0.46,0.028225772,0.441818182,0.44,0.46,0.435,0.43
141,ClC(Cl)(Cl)*,C1Cl3,0.4,0.033226495,0.386,0.4,0.4,0.376666667,0.4
142,BrC(Br)(Br)*,C1Br3,0.28,0,0.28,0.28,0.28,0.28,0.28
143,IC(I)(I)*,C1I3,0.3,0,0.3,0.3,,0.3,
144,FC(F)(Cl)*,C1Cl1F2,0.42,0,0.42,0.42,0.42,0.42,0.42
145,FC(F)(F)C(F)(F)*,C2F5,0.5,0.017853571,0.4975,0.5,0.5,0.496666667,0.47
146,*C=C,C2H3,0.08,0.028613808,0.0575,0.07,0.08,0.05,0.06
147,CC=C*,C3H5,0.05,0,0.05,0.05,,0.05,
148,CCC=C*,C4H7,-0.04,0,-0.04,-0.04,-0.04,-0.04,-0.04
149,CC(C)=C*,C4H7,-0.06,0,-0.06,-0.06,-0.06,-0.06,-0.06
150,*\C=C\C=O,C3H3O1,0.24,0,0.24,0.24,0.24,0.24,0.24
151,OC(=O)\C=C\*,C3H3O2,0.14,0,0.14,0.14,0.14,0.14,0.14
152,CC(=O)\C=C\*,C4H5O1,0.21,0,0.21,0.21,0.21,0.21,
153,CCOC(=O)\C=C\*,C5H7O2,0.19,0,0.19,0.19,,0.19,
154,ClC=C*,C2H2Cl1,0.1,0,0.1,0.1,,0.1,
155,ClC(Cl)=C*,C2H1Cl2,0.11,0,0.11,0.11,0.11,0.11,0.11
156,FC(F)=C*,C2H1F2,0.1,0,0.1,0.1,,0.1,
157,*\C=C/C#N,C3H2N1,0.24,0,0.24,0.24,0.24,0.24,0.24
158,*C=C(C#N)C#N,C4H1N2,0.55,0.07428829,0.5525,0.55,0.55,0.553333333,0.66
159,*\C=C/N(=O)=O,C2H2N1O2,0.32,0.018856181,0.306666667,0.32,0.32,0.3,0.32
160,*\C=C/C1=CC=CC=C1,C8H7,0.03,0.067592529,0.0375,0.03,0.03,0.04,0.03
161,CC(*)=C,C3H5,0.1,0.005,0.095,0.095,,0.095,0.09
162,C\C=C(\C)*,C4H7,0.1,0,0.1,0.1,,0.1,
163,ClC(Cl)=C(Cl)*,C2Cl3,0.15,0,0.15,0.15,,0.15,
164,FC(F)=C(F)*,C2F3,0.14,0,0.14,0.14,,0.14,
165,*C(C#N)=C(C#N)C#N,C5N3,0.77,0.028284271,0.79,0.77,0.77,0.8,0.77
166,*C#C,C2H1,0.2,0.005,0.205,0.205,,0.205,0.21
167,CC#C*,C3H3,0.1,0.051854497,0.136666667,0.1,0.1,0.155,0.21
168,*C#CC1=CC=CC=C1,C8H5,0.14,0.049749372,0.175,0.15,0.14,0.186666667,0.14
169,FC(F)(F)C#C*,C3F3,0.41,0,0.41,0.41,0.41,0.41,0.41
170,*C=O,C1H1O1,0.36,0.08660254,0.37,0.37,0.36,0.361666667,
171,OC(*)=O,C1H1O2,0.35,0.042455496,0.325555556,0.35,0.35,0.317142857,0.37
172,CCOC(*)=O,C3H5O2,0.37,0.061145527,0.334285714,0.36,0.37,0.328333333,0.37
173,CC(*)=O,C2H3O1,0.36,0.032659863,0.34,0.35,0.36,0.335,0.38
174,CC(C)C(*)=O,C4H7O1,0.35,0.015,0.365,0.365,,0.365,0.38
175,*C(=O)C1=CC=CC=C1,C7H5O1,0.34,0.020463382,0.3575,0.35,0.34,0.363333333,
176,FC(F)(F)C(*)=O,C2F3O1,0.63,0,0.63,0.63,0.63,0.63,0.63
177,NC(*)=O,C1H2N1O1,0.28,0.029257478,0.292,0.28,0.28,0.3,0.28
178,CNC(*)=O,C2H4N1O1,0.35,0,0.35,0.35,0.35,0.35,0.35
179,*C(=O)NC1=CC=CC=C1,C7H6N1O1,0.23,0.028284271,0.25,0.23,0.23,0.26,0.23
180,COC(*)=O,C2H3O2,0.32,0.035619517,0.3325,0.325,0.32,0.336666667,0.36
181,CCOC(*)=O,C3H5O2,0.37,0.061145527,0.334285714,0.36,0.37,0.328333333,0.37
182,*C1=CC=CC=C1,C6H5,0.05,0.061611025,0.084285714,0.06,0.06,0.088333333,0.06
183,*C1=CC=C2C=CC=CC2=C1,C10H7,0.05,0.005,0.055,0.055,,0.055,0.06
184,*C1=CC2=C(C=C1)C=C1C=CC=CC1=C2,C14H9,0.05,0,0.05,0.05,,0.05,
185,*C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,C18H11,0.05,0,0.05,0.05,,0.05,
186,*C1=CC=CO1,C4H3O1,0.06,0.015,0.065,0.06,0.06,0.066666667,0.06
187,*C1=COC=C1,C4H3O1,0.25,0,0.25,0.25,,0.25,
188,N*,H2N1,0,0.073090005,-0.078181818,-0.07,0,-0.09875,-0.16
189,CN*,C1H4N1,-0.3,0.050497525,-0.25,-0.255,-0.3,-0.233333333,-0.21
190,CCN*,C2H6N1,-0.24,0,-0.24,-0.24,-0.24,-0.24,-0.24
191,CCCN*,C3H8N1,-0.29,0,-0.29,-0.29,,-0.29,
192,CCCCN*,C4H10N1,-0.34,0,-0.34,-0.34,-0.34,-0.34,-0.34
193,*NC1=CC=CC=C1,C6H6N1,-0.12,0.047140452,-0.086666667,-0.12,-0.12,-0.07,-0.02
194,*NC=O,C1H2N1O1,0.19,0.004330127,0.1925,0.19,0.19,0.195,0.19
195,CC(=O)N*,C2H4N1O1,0.21,0.077672761,0.128181818,0.13,0.21,0.112857143,0.21
196,*NC(=O)C1=CC=CC=C1,C7H6N1O1,0.22,0.068809112,0.152857143,0.17,0.22,0.141666667,0.02
197,CCOC(=O)N*,C3H6N1O2,0.07,0.027335366,0.078333333,0.075,0.07,0.0725,0.11
198,NC(=O)N*,C1H3N2O1,-0.03,0,-0.03,-0.03,,-0.03,
199,ON*,H2N1O1,-0.04,0,-0.04,-0.04,-0.04,-0.04,-0.04
200,NN*,H3N2,-0.02,0,-0.02,-0.02,-0.02,-0.02,-0.02
201,CN(C)*,C2H6N1,-0.15,0.036243348,-0.154444444,-0.15,-0.15,-0.145,-0.16
202,CCN(*)CC,C4H10N1,-0.15,0.037712362,-0.176666667,-0.15,-0.15,-0.19,-0.23
203,CN(*)C(C)=O,C3H6N1O1,0.31,0.014142136,0.3,0.31,0.31,0.295,0.31
204,O*,H1O1,0.13,0.061122827,0.118,0.13,0.13,0.115,0.12
205,CO*,C1H3O1,0.12,0.040657856,0.115714286,0.12,0.12,0.114,0.12
206,CCO*,C2H5O1,0.1,0.280642121,-0.04,0.1,0.1,-0.075,0.1
207,CCCO*,C3H7O1,0.1,0.004714045,0.096666667,0.1,0.1,0.095,0.1
208,CCCCO*,C4H9O1,0.05,0.056291651,0.0425,0.06,,0.0425,-0.05
209,CCCCCO*,C5H11O1,0.1,0.018856181,0.086666667,0.1,0.1,0.08,0.1
210,CC(C)O*,C3H7O1,0.05,0.023570226,0.066666667,0.05,0.05,0.075,0.1
211,*OCC=C,C3H5O1,0.09,0,0.09,0.09,0.09,0.09,0.09
212,*OCC#C,C3H3O1,0.09,0,0.09,0.09,,0.09,
213,*OC1CCCCC1,C6H11O1,0.29,0,0.29,0.29,,0.29,
214,*OC1=CC=CC=C1,C6H5O1,0.25,0.009797959,0.248,0.25,0.25,0.246666667,0.25
215,CC(=O)O*,C2H3O2,0.39,0.056984403,0.328333333,0.335,0.39,0.33,0.39
216,FC(F)(F)C(=O)O*,C1F3O2,0.56,0,0.56,0.56,,0.56,
217,*ON(=O)=O,N1O3,0.5,0.025,0.525,0.525,,0.525,0.55
218,FC(F)(F)O*,C1F3O1,0.36,0.010198039,0.364,0.36,0.36,0.365,0.38
219,ClCO*,C1H2Cl1O1,0.25,0,0.25,0.25,0.25,0.25,0.25
220,FCO*,C1H2F1O1,0.2,0,0.2,0.2,0.2,0.2,0.2
221,ClC(Cl)O*,C1H1Cl2O1,0.38,0,0.38,0.38,0.38,0.38,0.38
222,FC(F)O*,C1H1F2O1,0.31,0,0.31,0.31,0.31,0.31,0.31
223,ClC(Cl)(Cl)O*,C1Cl3O1,0.43,0,0.43,0.43,0.43,0.43,
224,*OC#N,C1N1O1,0.67,0,0.67,0.67,0.67,0.67,0.67
225,CS(=O)(=O)O*,C1H3O3S1,0.39,0.03344772,0.4125,0.395,0.39,0.42,0.39
226,CP(C)*,C2H6P1,0.05,0.044031529,0.075714286,0.05,0.05,0.09,0.03
227,CCP(*)CC,C4H10P1,0.03,0.056734029,0.0775,0.065,,0.0775,0.1
228,*P(C#N)C#N,C2N2P1,0.82,0,0.82,0.82,0.82,0.82,0.82
229,COP(*)OC,C2H6O2P1,0.25,0,0.25,0.25,,0.25,
230,CN(C)P(*)N(C)C,C4H12N2P1,-0.03,0.098994949,0.04,-0.03,-0.03,0.075,0.18
231,CCOP(*)C1=CC=CC=C1,C8H10O1P1,0.25,0,0.25,0.25,,0.25,
232,*P(C1=CC=CC=C1)C1=CC=CC=C1,C12H10P1,0.11,0.094328994,0.181428571,0.15,0.11,0.21,0.11
233,ClP(Cl)*,Cl2P1,0.53,0.004714045,0.533333333,0.53,0.53,0.535,0.54
234,FP(F)*,F2P1,0.48,0.096792303,0.4275,0.48,0.48,0.41,0.49
235,ClP(Cl)(*)=O,Cl2O1P1,0.78,0.00942809,0.786666667,0.78,0.78,0.79,0.78
236,FP(F)(*)=O,F2O1P1,0.81,0,0.81,0.81,0.81,0.81,0.81
237,OP(O)(*)=O,H2O3P1,0.36,0,0.36,0.36,0.36,0.36,0.36
238,CP(C)(*)=O,C2H6O1P1,0.43,0.045,0.435,0.43,0.43,0.436,0.43
239,CCCCP(*)(=O)CCCC,C8H18O1P1,0.35,0.00942809,0.356666667,0.35,0.35,0.36,0.35
240,COP(*)(=O)OC,C2H6O3P1,0.42,0.064930732,0.398,0.42,0.42,0.3925,0.42
241,CCOP(*)(=O)OCC,C4H10O3P1,0.49,0.096911489,0.442857143,0.49,0.49,0.435,
242,CCCOP(*)(=O)OCCC,C6H14O3P1,0.38,0,0.38,0.38,0.38,0.38,0.38
243,*P(=O)(C1=CC=CC=C1)C1=CC=CC=C1,C12H10O1P1,0.38,0.152797603,0.377272727,0.42,0.38,0.361428571,0.38
244,CP(C)(*)=S,C2H6P1S1,0.43,0,0.43,0.43,0.43,0.43,0.43
245,ClP(Cl)(*)=S,Cl2P1S1,0.7,0.014142136,0.71,0.7,0.7,0.715,0.7
246,*P(=S)(C1=CC=CC=C1)C1=CC=CC=C1,C12H10P1S1,0.38,0.070553368,0.366666667,0.34,0.38,0.375714286,0.29
247,S*,H1S1,0.25,0.01,0.24,0.24,0.25,0.24,0.25
248,CS*,C1H3S1,0.14,0.012990381,0.1425,0.14,0.14,0.145,0.15
249,CCS*,C2H5S1,0.23,0.03082207,0.2,0.205,0.23,0.19,0.18
250,CCCS*,C3H7S1,0.22,0,0.22,0.22,0.22,0.22,0.22
251,CCCCS*,C4H9S1,0.21,0,0.21,0.21,0.21,0.21,0.21
252,CCCCCS*,C5H11S1,0.21,0,0.21,0.21,,0.21,
253,CC(C)S*,C3H7S1,0.23,0.028284271,0.21,0.23,0.23,0.2,0.23
254,*SCC1=CC=CC=C1,C7H7S1,0.23,0,0.23,0.23,0.23,0.23,0.23
255,*SC1=CC=CC=C1,C6H5S1,0.3,0.054313902,0.25,0.265,0.3,0.233333333,0.23
256,*SC1CCCCC1,C6H11S1,0.31,0,0.31,0.31,,0.31,
257,*SC=C,C2H3S1,0.18,0.037712362,0.206666667,0.18,0.18,0.22,0.26
258,*SCC=C,C3H5S1,0.19,0,0.19,0.19,0.19,0.19,0.19
259,*SC#C,C2H1S1,0.26,0,0.26,0.26,0.26,0.26,0.26
260,*SC#N,C1N1S1,0.41,0.052493386,0.483333333,0.51,,0.483333333,0.51
261,FCS*,C1H2F1S1,0.23,0,0.23,0.23,0.23,0.23,0.23
262,FC(F)S*,C1H1F2S1,0.33,0,0.33,0.33,0.33,0.33,0.33
263,ClS*,Cl1S1,0.44,0,0.44,0.44,0.44,0.44,0.44
264,FC(F)(F)S*,C1F3S1,0.38,0.041180915,0.386363636,0.38,0.38,0.385555556,0.4
265,CN(C)S*,C2H6N1S1,0.12,0,0.12,0.12,0.12,0.12,0.12
266,COS*,C1H3O1S1,0.17,0.02,0.19,0.19,,0.19,0.21
267,FCOS*,C1H2F1O1S1,0.7,0,0.7,0.7,,0.7,
268,CC(=O)S*,C2H3O1S1,0.39,0.007637626,0.385,0.39,0.39,0.38,0.39
269,NC(=O)S*,C1H2N1O1S1,0.34,0,0.34,0.34,0.34,0.34,0.34
270,FS(F)(F)*,F3S1,0.7,1.11E-16,0.7,0.7,0.7,0.7,0.7
271,OS(*)(=O)=O,H1O3S1,0.55,0.004714045,0.553333333,0.55,0.55,0.555,0.55
272,CS(*)(=O)=O,C1H3O2S1,0.64,0.029062486,0.630909091,0.64,0.64,0.622857143,0.6
273,CS(*)=O,C1H3O1S1,0.52,0.047809144,0.5,0.52,0.52,0.492,0.52
274,CCS(*)(=O)=O,C2H5O2S1,0.6,0.03,0.63,0.63,,0.63,0.66
275,CCS(*)=O,C2H5O1S1,0.52,0,0.52,0.52,,0.52,
276,CCCS(*)(=O)=O,C3H7O2S1,0.6,0.035,0.635,0.635,,0.635,0.67
277,CCCS(*)=O,C3H7O1S1,0.52,0,0.52,0.52,,0.52,
278,FS(*)(=O)=O,F1O2S1,0.89,0.085229103,0.886,0.89,0.98,0.8625,0.8
279,FS(*)=O,F1O1S1,0.74,0,0.74,0.74,0.74,0.74,0.74
280,ClS(*)(=O)=O,Cl1O2S1,0.92,0.130072095,0.9775,0.92,0.92,0.996666667,1.2
281,ClS(*)=O,Cl1O1S1,0.75,0,0.75,0.75,,0.75,
282,FC(F)(F)S(*)(=O)=O,C1F3O2S1,0.75,0.054037024,0.82,0.8,0.79,0.82625,0.83
283,FC(F)(F)S(*)=O,C1F3O1S1,0.63,0.017853571,0.6475,0.645,0.63,0.653333333,0.63
284,CC(C)S(*)(=O)=O,C3H7O2S1,0.6,0,0.6,0.6,,0.6,
285,CC(C)S(*)=O,C3H7O1S1,0.52,0,0.52,0.52,,0.52,
286,NS(*)(=O)=O,H2N1O2S1,0.46,0.036551334,0.502,0.51,0.46,0.5125,0.53
287,NS(*)=O,H2N1O1S1,0.4,0,0.4,0.4,,0.4,
288,CNS(*)(=O)=O,C1H4N1O2S1,0.51,0,0.51,0.51,,0.51,
289,CNS(*)=O,C1H4N1O1S1,0.4,0,0.4,0.4,,0.4,
290,CN(C)S(*)(=O)=O,C2H6N1O2S1,0.51,0.00942809,0.516666667,0.51,0.51,0.52,0.51
291,CN(C)S(*)=O,C2H6N1O1S1,0.4,0,0.4,0.4,,0.4,
292,*S(=O)(=O)C1=CC=CC=C1,C6H5O2S1,0.61,0.004714045,0.616666667,0.62,0.62,0.615,0.62
293,*S(=O)C1=CC=CC=C1,C6H5O1S1,0.51,0.004714045,0.506666667,0.51,0.51,0.505,0.5
294,*S(=O)(=O)C=C,C2H3O2S1,0.7,0,0.7,0.7,,0.7,
295,COS(*)(=O)=O,C1H3O3S1,0.75,0,0.75,0.75,,0.75,
296,COS(*)=O,C1H3O2S1,0.5,0,0.5,0.5,0.5,0.5,0.5
