no,chemical.name,type,chemical.smiles,log.rate.exp,Log.rate.pred,r1.taft.smiles,r1.taft.sub.smiles,r1.taft.mcs.index,r1.es.smiles,r1.es.sub.smiles,r1.es.mcs.index,r1.ind.smiles,r1.ind.sub.smiles,r1.ind.mcs.index,r1.meta1.smiles,r1.meta1.sub.smiles,r1.meta1.mcs.index,r1.meta2.smiles,r1.meta2.sub.smiles,r1.meta2.mcs.index,r1.ortho1.smiles,r1.ortho1.sub.smiles,r1.ortho1.mcs.index,r1.ortho2.smiles,r1.ortho2.sub.smiles,r1.ortho2.mcs.index,r1.para1.smiles,r1.para1.sub.smiles,r1.para1.mcs.index,r2.taft.smiles,r2.taft.sub.smiles,r2.taft.mcs.index,r2.es.smiles,r2.es.sub.smiles,r2.es.mcs.index,r2.ind.smiles,r2.ind.sub.smiles,r2.ind.mcs.index,r2.meta1.smiles,r2.meta1.sub.smiles,r2.meta1.mcs.index,r2.meta2.smiles,r2.meta2.sub.smiles,r2.meta2.mcs.index,r2.ortho1.smiles,r2.ortho1.sub.smiles,r2.ortho1.mcs.index,r2.ortho2.smiles,r2.ortho2.sub.smiles,r2.ortho2.mcs.index,r2.para1.smiles,r2.para1.sub.smiles,r2.para1.mcs.index,r1.taft.value,r1.es.value,r1.ind.value,r1.meta1.value,r1.meta2.value,r1.ortho1.value,r1.ortho2.value,r1.para1.value,r1.hammett.value,r2.taft.value,r2.es.value,r2.ind.value,r2.meta1.value,r2.meta2.value,r2.ortho1.value,r2.ortho2.value,r2.para1.value,r2.hammett.value
11,"2-(diethylamino)ethyl N-(2,4,6-trimethylphenyl)carbamate",carbamate,CCN(CC)CCOC(=O)NC1=C(C)C=C(C)C=C1C,-6.036212173,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,C*,,,C*,,,C*,,,CCN(CC)CC*,,,CCN(CC)CC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3-(trimethylamino)phenyl N-methylcarbamate,carbamate,CNC(=O)OC1=CC=CC(=C1)[N](C)(C)C,-0.173925197,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,C[N](C)(C)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2-chloroethyl N-phenylcarbamate,carbamate,ClCCOC(=O)NC1=CC=CC=C1,-2.798602876,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,ClCC*,,,ClCC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"2,2-dichloroethyl N-phenylcarbamate",carbamate,ClC(Cl)COC(=O)NC1=CC=CC=C1,-1.301029996,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,ClC(Cl)C*,,,ClC(Cl)C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"2,2,2-trichloroethyl N-phenylcarbamate",carbamate,ClC(Cl)(Cl)COC(=O)NC1=CC=CC=C1,-0.500312917,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,ClC(Cl)(Cl)C*,,,ClC(Cl)(Cl)C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"2,2,2-trifluoroethyl N-phenylcarbamate",carbamate,FC(F)(F)COC(=O)NC1=CC=CC=C1,-1,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,FC(F)(F)C*,,,FC(F)(F)C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Methiocarb,carbamate,CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,0.603281723,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,C*,,,C*,,,,,,,,,CS*,,,,,,,,,,,,,,,,,,,,
18,Ethiofencarb,carbamate,CCSCc1ccccc1OC(=O)NC,0.165337162,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,CCSC*,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bendiocarb,carbamate,CC1(Oc2cccc(c2O1)OC(=O)NC)C,1.4212001,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,CC(C)O*,,,,,,CC(C)O*,,,,,,,,,,,,,,,,,,,,,,,,,,
20,carbofuran,carbamate,CC1(Cc2cccc(c2O1)OC(=O)NC)C,0.904311719,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,CC(C)C*,,,,,,CC(C)O*,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Baygon,carbamate,CC(C)OC1=CC=CC=C1OC(=O)NC,0.072133541,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,CC(C)O*,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Methomyl,carbamate,CNC(=O)ON=C(C)SC,-1.572809536,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,CSC(C)=N*,,,CSC(C)=N*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Carbendazim,carbamate,COC(=O)NC1=NC2=CC=CC=C2N1,-1.828082041,,*C1=NC2=CC=CC=C2N1,,,*C1=NC2=CC=CC=C2N1,,,,,,,,,,,,,,,,,,,,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Carbetamide,carbamate,O=C(OC(C(=O)NCC)C)Nc1ccccc1,-1.417907576,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,CCNC(=O)C(C)*,,,CCNC(=O)C(C)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
