no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
37,ClC*,C1H2Cl1,0.45,0.044472214,0.53,0.56,0.56,0.506,0.52
38,BrC*,C1H2Br1,0.51,0.029249881,0.526666667,0.51,0.51,0.543333333,0.51
39,IC*,C1H2I1,0.51,0.06094494,0.42,0.39,0.51,0.414,0.36
40,ClCC*,C2H4Cl1,-0.15,0.023570226,-0.116666667,-0.1,-0.1,-0.125,-0.1
41,ClCCC*,C3H6Cl1,-0.3,0.021602469,-0.33,-0.34,,-0.33,-0.35
42,FCCC*,C3H6F1,-0.3,0.025,-0.325,-0.325,,-0.325,-0.35
43,BrCC*,C2H4Br1,0,0.087954534,-0.082,-0.05,0,-0.1025,0
44,ICC*,C2H4I1,-0.08,0,-0.08,-0.08,-0.08,-0.08,-0.08
45,ClC(Cl)C*,C2H3Cl2,0.08,0,0.08,0.08,,0.08,
46,ClC(Cl)(Cl)C*,C2H2Cl3,0.26,0,0.26,0.26,0.26,0.26,0.26
47,FC(F)(F)C*,C2H2F3,0.38,0.023570226,0.396666667,0.38,0.38,0.405,
48,*CC#N,C2H2N1,0.81,0.146064006,0.867142857,0.81,0.81,0.91,0.81
49,*CCC#N,C3H4N1,0.38,0.167473049,0.228333333,0.31,0.38,0.17,0.38
50,NC*,C1H4N1,0.01,0.041231056,-0.02,-3.47E-18,0.01,-0.03,-0.09
51,CN(C)C*,C3H8N1,-0.1,0.080311892,-0.18,-0.175,-0.1,-0.206666667,-0.25
52,CC(=O)NC*,C3H6N1O1,-0.06,0.080138769,-0.003333333,-0.06,-0.06,0.025,-0.06
53,*CN(=O)=O,C1H2N1O2,1.24,0.145547243,1.186,1.24,1.24,1.1725,1.2
54,CN(C)CC*,C4H10N1,-0.36,0,-0.36,-0.36,-0.36,-0.36,-0.36
55,*COC1=CC=CC=C1,C7H7O1,0.36,0.028613808,0.3825,0.37,0.36,0.39,0.36
56,SC*,C1H3S1,0.13,0.061390146,0.0825,0.11,0.13,0.066666667,-0.02
57,CSC*,C2H5S1,0.13,0.088065632,0.053333333,0.1,,0.053333333,-0.07
58,*CSC#N,C2H2N1S1,0.6,0.045,0.645,0.645,,0.645,0.69
59,FC(F)(F)SC*,C2H2F3S1,0.26,0,0.26,0.26,0.26,0.26,
60,CS(=O)C*,C2H5O1S1,0.84,0,0.84,0.84,0.84,0.84,0.84
61,CS(=O)(=O)C*,C2H5O2S1,0.83,0.028284271,0.85,0.83,0.83,0.86,0.83
62,[H]C(=O)C*,C2H3O1,0.13,0,0.13,0.13,0.13,0.13,0.13
63,OC(=O)C*,C2H3O2,0.59,0.19956202,0.465,0.575,0.59,0.423333333,0.56
64,CC(=O)C*,C3H5O1,0.13,0.01490712,0.123333333,0.12,0.11,0.13,0.11
65,COC(=O)C*,C3H5O2,0.57,0,0.57,0.57,0.57,0.57,0.57
66,NC(=O)C*,C2H4N1O1,-0.18,0,-0.18,-0.18,-0.18,-0.18,
67,OC(=O)CC*,C3H5O2,-0.14,0,-0.14,-0.14,-0.14,-0.14,-0.14
68,CC(=O)CC*,C4H7O1,-0.26,0,-0.26,-0.26,-0.26,-0.26,-0.26
69,CC(C)*,C3H7,-0.49,0.120277457,-0.65,-0.68,,-0.65,-0.68
70,CCC(C)*,C4H9,-0.49,0.088423696,-0.6425,-0.69,-0.7,-0.623333333,-0.7
71,CCCC(C)*,C5H11,-0.49,0,-0.49,-0.49,,-0.49,
72,CCCCC(C)*,C6H13,-0.49,0,-0.49,-0.49,,-0.49,
73,CCCC(*)CC,C6H13,-0.49,0,-0.49,-0.49,,-0.49,
74,CCC(*)C(C)C,C6H13,-0.49,0,-0.49,-0.49,,-0.49,
75,CCCCC(*)CC,C7H15,-0.49,0,-0.49,-0.49,,-0.49,
76,CCC(*)CC(C)(C)C,C8H17,-0.49,0,-0.49,-0.49,,-0.49,
77,CCC(*)CC,C5H11,-0.49,0.115,-0.605,-0.605,,-0.605,-0.72
78,CCCC(*)CCC,C7H15,-0.49,0,-0.49,-0.49,,-0.49,
79,CC(C)C(*)C(C)C,C7H15,-0.49,0,-0.49,-0.49,,-0.49,
80,CC(C)C(*)C(C)(C)C,C8H17,-0.49,0,-0.49,-0.49,,-0.49,
81,CC(*)C(C)(C)C,C6H13,-0.78,0,-0.78,-0.78,-0.78,-0.78,-0.78
82,CC(*)CC(C)(C)C,C7H15,-0.49,0,-0.49,-0.49,,-0.49,
83,CCCCCCC(C)*,C9H11,-0.46,0,-0.46,-0.46,-0.46,-0.46,-0.46
84,CCCCC(*)CCCC,C9H19,-0.49,0,-0.49,-0.49,,-0.49,
85,CC(C)(C)C(*)C(C)(C)C,C9H19,-0.49,0,-0.49,-0.49,,-0.49,
86,CC(C)(C)CC(*)CC(C)(C)C,C11H23,-0.49,0,-0.49,-0.49,,-0.49,
87,CC(C)CC(*)CC(C)C,C9H19,-0.49,0,-0.49,-0.49,,-0.49,
88,CC(C)CC(*)CC(C)(C)C,C10H21,-0.49,0,-0.49,-0.49,,-0.49,
89,CC(*)C1=CC=CC=C1,C8H9,-0.38,0.122565175,-0.293333333,-0.38,-0.38,-0.25,-0.38
90,CCC(*)C1=CC=CC=C1,C9H11,-0.45,0,-0.45,-0.45,-0.45,-0.45,-0.45
91,*C(C1=CC=CC=C1)C1=CC=CC=C1,C13H11,-0.08,0.048989795,-0.09,-0.08,-0.08,-0.0925,-0.08
92,CC(*)C=C,C4H7,-0.37,0,-0.37,-0.37,,-0.37,
93,CC(*)C#C,C4H5,0.03,0,0.03,0.03,,0.03,
94,*C(C#N)C#N,C3H1N2,2.91,0,2.91,2.91,2.91,2.91,2.91
95,FC(F)*,C1H1F2,1.56,0.018856181,1.546666667,1.56,1.56,1.54,
96,ClC(Cl)*,C1H1Cl2,1.45,0.052938352,1.474444444,1.45,1.45,1.505,1.52
97,BrC(Br)*,C1H1Br2,1.47,0.004714045,1.466666667,1.47,1.47,1.465,
98,IC(I)*,C1H1I2,1.13,0,1.13,1.13,1.13,1.13,
99,CC(Cl)*,C2H4Cl1,0.51,0.046647615,0.508,0.51,0.51,0.5075,0.51
100,CC(Br)*,C2H4Br1,0.76,0.15411035,0.61,0.635,0.76,0.56,0.51
101,CC(I)*,C2H4I1,0.76,0,0.76,0.76,,0.76,
102,FCC(F)*,C2H3F2,0.6,0,0.6,0.6,,0.6,
103,CC(O)*,C2H5O1,-0.03,0.147224319,-0.115,-0.03,-0.03,-0.143333333,-0.03
104,CCC(O)*,C3H7O1,-0.04,0.185,-0.225,-0.225,,-0.225,-0.41
105,CCCC(O)*,C4H9O1,-0.04,0,-0.04,-0.04,,-0.04,
106,CC(C)(C)C(O)*,C5H11O1,-0.04,0,-0.04,-0.04,,-0.04,
107,OC(*)C1=CC=CC=C1,C7H7O1,0.01,0.13,0.14,0.14,0.01,0.14,0.27
108,OCC(O)*,C2H5O2,0.2,0,0.2,0.2,,0.2,
109,OC(O)*,C1H3O2,0.88,0,0.88,0.88,0.88,0.88,0.88
110,OC(F)*,C1H2F1O1,1.95,0,1.95,1.95,,1.95,
111,COC(C)*,C3H7O1,0.1,0,0.1,0.1,,0.1,
112,CCC(*)OC,C4H9O1,0.1,0,0.1,0.1,,0.1,
113,COCC(*)OC,C4H9O2,0.15,0,0.15,0.15,,0.15,
114,*C1CC1,C3H5,-0.49,0.095131488,-0.49,-0.47,,-0.49,
115,*C1CCC1,C4H7,-0.49,0.075,-0.565,-0.565,,-0.565,-0.64
116,*C1CCCC1,C5H9,-0.49,0.1,-0.59,-0.59,,-0.59,
117,*C1CCCCC1,C6H11,-0.67,0.04844814,-0.668333333,-0.67,-0.67,-0.668,
118,*C1CCCCCC1,C7H13,-0.62,0,-0.62,-0.62,-0.62,-0.62,-0.62
119,CC(C)(C)*,C4H9,-0.49,0.111803399,-0.74,-0.79,-0.79,-0.64,
120,CCC(C)(C)*,C5H11,-0.79,0.012472191,-0.803333333,-0.8,,-0.803333333,
121,CC(C)C(C)(C)*,C6H13,-0.49,0,-0.49,-0.49,,-0.49,
122,CC(C)(C)C(C)(C)*,C7H15,-0.49,0,-0.49,-0.49,,-0.49,
123,CC(C)(C)CC(C)(C)*,C8H17,-0.49,0,-0.49,-0.49,,-0.49,
124,CC(C)(C)CC(C)(*)C(C)(C)C,C11H23,-0.49,0,-0.49,-0.49,,-0.49,
125,CC(C)C(C)(*)C(C)C,C8H17,-0.49,0,-0.49,-0.49,,-0.49,
126,CC(C)C(C)(*)C(C)(C)C,C9H19,-0.49,0,-0.49,-0.49,,-0.49,
127,CCC(*)(C(C)C)C(C)(C)C,C10H21,-0.49,0,-0.49,-0.49,,-0.49,
128,CCC(*)(CC)C(C)C,C8H17,-0.49,0,-0.49,-0.49,,-0.49,
129,CCC(*)(CC)C(C)(C)C,C9H19,-0.49,0,-0.49,-0.49,,-0.49,
130,CCC(*)(C(C)C)C(C)C,C9H19,-0.49,0,-0.49,-0.49,,-0.49,
131,CCC(*)(CC)CC,C7H15,-0.49,0,-0.49,-0.49,,-0.49,
132,CC(C)C(*)(C(C)C)C(C)C,C10H21,-0.49,0,-0.49,-0.49,,-0.49,
133,CC(*)(C1=CC=CC=C1)C1=CC=CC=C1,C14H13,-0.13,0.042426407,-0.16,-0.13,-0.13,-0.175,
134,CCC(*)(C1=CC=CC=C1)C1=CC=CC=C1,C15H15,-0.12,0.075424723,-0.173333333,-0.12,-0.12,-0.2,-0.28
135,*C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C19H15,0.07,0.090104106,0.0525,0.07,0.07,0.046666667,0.07
136,CC(C)(O)*,C3H7O1,-0.14,0.014142136,-0.15,-0.14,-0.14,-0.155,-0.14
137,COC(C)(C)*,C4H9O1,-0.04,0,-0.04,-0.04,,-0.04,
138,CC(C)(Br)*,C3H6Br1,0.76,0,0.76,0.76,,0.76,
139,CC(Br)(Br)*,C2H3Br2,1.36,0,1.36,1.36,,1.36,
140,FC(F)(F)*,C1F3,2.12,0.312022969,2.115,2.12,2.12,2.114,
141,ClC(Cl)(Cl)*,C1Cl3,2.16,0.172034643,2.174285714,2.16,2.16,2.18,2.16
142,BrC(Br)(Br)*,C1Br3,1.94,0.032998316,1.963333333,1.94,1.94,1.975,1.94
143,IC(I)(I)*,C1I3,2.3,0,2.3,2.3,,2.3,
144,FC(F)(Cl)*,C1Cl1F2,1.88,0,1.88,1.88,1.88,1.88,
145,FC(F)(F)C(F)(F)*,C2F5,2.07,0.127279221,2.16,2.07,2.07,2.205,
146,*C=C,C2H3,0.07,0.087481777,0.035714286,0.07,-0.09,0.056666667,
147,CC=C*,C3H5,-0.13,0,-0.13,-0.13,,-0.13,
148,CCC=C*,C4H7,-0.13,0.025,-0.155,-0.155,,-0.155,-0.18
149,CC(C)=C*,C4H7,-0.2,0.05,-0.25,-0.25,,-0.25,-0.3
150,*\C=C\C=O,C3H3O1,0.5,0,0.5,0.5,,0.5,
151,OC(=O)\C=C\*,C3H3O2,0.51,0.004714045,0.516666667,0.52,0.52,0.515,0.52
152,CC(=O)\C=C\*,C4H5O1,0.59,0,0.59,0.59,0.59,0.59,0.59
153,CCOC(=O)\C=C\*,C5H7O2,0.63,0,0.63,0.63,,0.63,
154,ClC=C*,C2H2Cl1,0.38,0,0.38,0.38,,0.38,
155,ClC(Cl)=C*,C2H1Cl2,0.51,0,0.51,0.51,0.51,0.51,0.51
156,FC(F)=C*,C2H1F2,0.7,0,0.7,0.7,0.7,0.7,0.7
157,*\C=C/C#N,C3H2N1,0.8,0,0.8,0.8,,0.8,
158,*C=C(C#N)C#N,C4H1N2,2.07,0,2.07,2.07,2.07,2.07,
159,*\C=C/N(=O)=O,C2H2N1O2,1.26,0.023570226,1.243333333,1.26,1.26,1.235,1.26
160,*\C=C/C1=CC=CC=C1,C8H7,-0.08,0,-0.08,-0.08,-0.08,-0.08,-0.08
161,CC(*)=C,C3H5,0.05,0.03,0.02,0.02,,0.02,-0.01
162,C\C=C(\C)*,C4H7,-0.05,0,-0.05,-0.05,,-0.05,
163,ClC(Cl)=C(Cl)*,C2Cl3,1.76,0,1.76,1.76,1.76,1.76,
164,FC(F)=C(F)*,C2F3,1.45,0,1.45,1.45,1.45,1.45,
165,*C(C#N)=C(C#N)C#N,C5N3,3.71,0,3.71,3.71,3.71,3.71,
166,*C#C,C2H1,0.81,0.537959106,1.2,1.235,0.81,1.278,1.66
167,CC#C*,C3H3,0.71,0.342029239,0.814,0.71,0.71,0.84,1.44
168,*C#CC1=CC=CC=C1,C8H5,0.86,0.362981481,1.116666667,0.86,0.86,1.245,
169,FC(F)(F)C#C*,C3F3,1.45,0,1.45,1.45,1.45,1.45,
170,*C=O,C1H1O1,1.66,0,1.66,1.66,1.66,1.66,
171,OC(*)=O,C1H1O2,1.59,0.506414411,1.746666667,1.59,1.59,1.778,2.45
172,CCOC(*)=O,C3H5O2,1.77,0,1.77,1.77,1.77,1.77,1.77
173,CC(*)=O,C2H3O1,1.32,0.078383672,1.224,1.16,1.16,1.24,1.16
174,CC(C)C(*)=O,C4H7O1,1.63,0,1.63,1.63,,1.63,
175,*C(=O)C1=CC=CC=C1,C7H5O1,1.71,1.81E-16,1.71,1.71,1.71,1.71,
176,FC(F)(F)C(*)=O,C2F3O1,3.21,0,3.21,3.21,3.21,3.21,
177,NC(*)=O,C1H2N1O1,1.19,0.00942809,1.183333333,1.19,1.19,1.18,1.17
178,CNC(*)=O,C2H4N1O1,1.12,0,1.12,1.12,,1.12,
179,*C(=O)NC1=CC=CC=C1,C7H6N1O1,1.07,0,1.07,1.07,1.07,1.07,
180,COC(*)=O,C2H3O2,1.51,0.080138769,1.566666667,1.51,1.51,1.595,1.51
181,CCOC(*)=O,C3H5O2,1.77,0,1.77,1.77,1.77,1.77,1.77
182,*C1=CC=CC=C1,C6H5,0.26,0.062199277,0.1575,0.12,0.11,0.1675,
183,*C1=CC=C2C=CC=CC2=C1,C10H7,0.26,0.362981481,0.003333333,0.26,0.26,-0.125,-0.51
184,*C1=CC2=C(C=C1)C=C1C=CC=CC1=C2,C14H9,0.26,0,0.26,0.26,,0.26,
185,*C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,C18H11,0.26,0,0.26,0.26,,0.26,
186,*C1=CC=CO1,C4H3O1,0.59,0.391265752,0.313333333,0.59,0.59,0.175,0.59
187,*C1=COC=C1,C4H3O1,0.59,0.210132233,0.293333333,0.16,,0.293333333,0.13
188,N*,H2N1,0.13,0.254693443,0.3775,0.335,0.13,0.46,0.13
189,CN*,C1H4N1,-1.3,1.076616924,-0.714,-1.3,-1.3,-0.5675,
190,CCN*,C2H6N1,-1.11,0.867384318,-0.496666667,-1.11,-1.11,-0.19,
191,CCCN*,C3H8N1,-1.3,0,-1.3,-1.3,,-1.3,
192,CCCCN*,C4H10N1,-1.57,0,-1.57,-1.57,-1.57,-1.57,-1.57
193,*NC1=CC=CC=C1,C6H6N1,-1.3,0,-1.3,-1.3,,-1.3,
194,*NC=O,C1H2N1O1,1.13,0.169705627,1.25,1.13,1.13,1.31,1.13
195,CC(=O)N*,C2H4N1O1,0.91,0.103708995,0.983333333,0.91,0.91,1.02,0.91
196,*NC(=O)C1=CC=CC=C1,C7H6N1O1,1.19,0.018856181,1.176666667,1.19,1.19,1.17,1.19
197,CCOC(=O)N*,C3H6N1O2,1.5,0.174419673,1.376666667,1.5,1.5,1.315,1.5
198,NC(=O)N*,C1H3N2O1,0.82,0,0.82,0.82,,0.82,
199,ON*,H2N1O1,-0.01,0.09,-0.1,-0.1,,-0.1,
200,NN*,H3N2,-0.03,0.03,-0.06,-0.06,,-0.06,-0.09
201,CN(C)*,C2H6N1,-0.17,0.348849538,0.198,0.13,-0.17,0.29,
202,CCN(*)CC,C4H10N1,-0.1,0.287556758,0.103333333,-0.1,-0.1,0.205,
203,CN(*)C(C)=O,C3H6N1O1,1.76,0,1.76,1.76,1.76,1.76,1.76
204,O*,H1O1,0.85,0.165171525,0.975714286,0.88,1.06,0.961666667,0.88
205,CO*,C1H3O1,1.32,0.053065997,1.268,1.28,1.32,1.255,1.28
206,CCO*,C2H5O1,1.19,0.018856181,1.176666667,1.19,1.19,1.17,1.19
207,CCCO*,C3H7O1,1.19,0.051854497,1.153333333,1.19,1.19,1.135,1.08
208,CCCCO*,C4H9O1,1.19,0.061282588,1.146666667,1.19,1.19,1.125,1.06
209,CCCCCO*,C5H11O1,1.03,0.268700577,0.84,1.03,1.03,0.745,1.03
210,CC(C)O*,C3H7O1,1.13,0.023570226,1.113333333,1.13,1.13,1.105,1.08
211,*OCC=C,C3H5O1,1.19,0,1.19,1.19,,1.19,
212,*OCC#C,C3H3O1,1.19,0,1.19,1.19,,1.19,
213,*OC1CCCCC1,C6H11O1,1.32,0,1.32,1.32,,1.32,
214,*OC1=CC=CC=C1,C6H5O1,1.94,0,1.94,1.94,,1.94,
215,CC(=O)O*,C2H3O2,2.07,0.535933765,1.725,2.015,2.07,1.61,
216,FC(F)(F)C(=O)O*,C1F3O2,3.57,0,3.57,3.57,,3.57,
217,*ON(=O)=O,N1O3,3.37,0.042426407,3.34,3.37,3.37,3.325,3.28
218,FC(F)(F)O*,C1F3O1,2.5,0,2.5,2.5,,2.5,
219,ClCO*,C1H2Cl1O1,2.07,0,2.07,2.07,2.07,2.07,2.07
220,FCO*,C1H2F1O1,1.82,0,1.82,1.82,1.82,1.82,1.82
221,ClC(Cl)O*,C1H1Cl2O1,2.57,0,2.57,2.57,2.57,2.57,2.57
222,FC(F)O*,C1H1F2O1,2.32,0,2.32,2.32,2.32,2.32,
223,ClC(Cl)(Cl)O*,C1Cl3O1,2.7,0,2.7,2.7,2.7,2.7,2.7
224,*OC#N,C1N1O1,4.51,0,4.51,4.51,4.51,4.51,4.51
225,CS(=O)(=O)O*,C1H3O3S1,3.13,0,3.13,3.13,3.13,3.13,
226,CP(C)*,C2H6P1,2.3,0,2.3,2.3,,2.3,
227,CCP(*)CC,C4H10P1,2.3,0,2.3,2.3,,2.3,
228,*P(C#N)C#N,C2N2P1,4.1,0.005,4.105,4.105,,4.105,4.11
229,COP(*)OC,C2H6O2P1,2.5,0,2.5,2.5,,2.5,
230,CN(C)P(*)N(C)C,C4H12N2P1,2,0,2,2,,2,
231,CCOP(*)C1=CC=CC=C1,C8H10O1P1,2.2,0,2.2,2.2,,2.2,
232,*P(C1=CC=CC=C1)C1=CC=CC=C1,C12H10P1,2.2,0.815,1.385,1.385,,1.385,0.57
233,ClP(Cl)*,Cl2P1,2.3,0.025,2.325,2.325,,2.325,
234,FP(F)*,F2P1,1.8,0.04,1.84,1.84,,1.84,
235,ClP(Cl)(*)=O,Cl2O1P1,3.6,0.005,3.605,3.605,,3.605,
236,FP(F)(*)=O,F2O1P1,3.6,0,3.6,3.6,,3.6,
237,OP(O)(*)=O,H2O3P1,2.5,0,2.5,2.5,,2.5,
238,CP(C)(*)=O,C2H6O1P1,2.3,0.641162139,1.856666667,2.3,,1.856666667,
239,CCCCP(*)(=O)CCCC,C8H18O1P1,2.4,0,2.4,2.4,,2.4,
240,COP(*)(=O)OC,C2H6O3P1,2.5,0,2.5,2.5,,2.5,
241,CCOP(*)(=O)OCC,C4H10O3P1,2.5,0.015,2.515,2.515,,2.515,
242,CCCOP(*)(=O)OCCC,C6H14O3P1,2.5,0,2.5,2.5,,2.5,
243,*P(=O)(C1=CC=CC=C1)C1=CC=CC=C1,C12H10O1P1,2.6,0.657723346,1.67,1.22,,1.67,
244,CP(C)(*)=S,C2H6P1S1,2,0,2,2,,2,
245,ClP(Cl)(*)=S,Cl2P1S1,3.2,0.005,3.205,3.205,,3.205,
246,*P(=S)(C1=CC=CC=C1)C1=CC=CC=C1,C12H10P1S1,2.2,0,2.2,2.2,,2.2,
247,S*,H1S1,1.19,0.075424723,1.136666667,1.19,1.19,1.11,
248,CS*,C1H3S1,1.1,0.068190908,1.08,1.085,,1.08,
249,CCS*,C2H5S1,1.07,0.056568542,1.03,1.07,1.07,1.01,0.95
250,CCCS*,C3H7S1,1,0.051854497,0.963333333,1,1,0.945,0.89
251,CCCCS*,C4H9S1,0.95,0,0.95,0.95,0.95,0.95,
252,CCCCCS*,C5H11S1,0.86,0,0.86,0.86,,0.86,
253,CC(C)S*,C3H7S1,1.07,0.042426407,1.04,1.07,1.07,1.025,1.07
254,*SCC1=CC=CC=C1,C7H7S1,1.07,0,1.07,1.07,1.07,1.07,
255,*SC1=CC=CC=C1,C6H5S1,1.38,0.023570226,1.363333333,1.38,1.38,1.355,
256,*SC1CCCCC1,C6H11S1,1.44,0,1.44,1.44,,1.44,
257,*SC=C,C2H3S1,0.82,0,0.82,0.82,0.82,0.82,
258,*SCC=C,C3H5S1,1,0.02,0.98,0.98,,0.98,0.96
259,*SC#C,C2H1S1,1.51,0,1.51,1.51,1.51,1.51,1.51
260,*SC#N,C1N1S1,2.94,0.080138769,2.883333333,2.94,2.94,2.855,2.94
261,FCS*,C1H2F1S1,1.2,0,1.2,1.2,1.2,1.2,1.2
262,FC(F)S*,C1H1F2S1,1.57,0,1.57,1.57,1.57,1.57,
263,ClS*,Cl1S1,2.01,0,2.01,2.01,2.01,2.01,2.01
264,FC(F)(F)S*,C1F3S1,2.26,0.023570226,2.243333333,2.26,2.26,2.235,
265,CN(C)S*,C2H6N1S1,0.45,0,0.45,0.45,0.45,0.45,0.45
266,COS*,C1H3O1S1,0.21,0.43,0.64,0.64,,0.64,1.07
267,FCOS*,C1H2F1O1S1,3.61,0,3.61,3.61,,3.61,
268,CC(=O)S*,C2H3O1S1,1.8,0,1.8,1.8,1.8,1.8,
269,NC(=O)S*,C1H2N1O1S1,1.58,0.174419673,1.456666667,1.58,1.58,1.395,1.58
270,FS(F)(F)*,F3S1,3.2,0.03,3.23,3.23,,3.23,
271,OS(*)(=O)=O,H1O3S1,3.1,0,3.1,3.1,,3.1,
272,CS(*)(=O)=O,C1H3O2S1,3.1,0.045,3.145,3.145,,3.145,
273,CS(*)=O,C1H3O1S1,2.3,0.045,2.345,2.345,,2.345,
274,CCS(*)(=O)=O,C2H5O2S1,3.2,0.025,3.225,3.225,,3.225,
275,CCS(*)=O,C2H5O1S1,2.4,0,2.4,2.4,,2.4,
276,CCCS(*)(=O)=O,C3H7O2S1,3.1,0.045,3.145,3.145,,3.145,3.19
277,CCCS(*)=O,C3H7O1S1,2.3,0,2.3,2.3,,2.3,
278,FS(*)(=O)=O,F1O2S1,4.2,0.005,4.205,4.205,,4.205,
279,FS(*)=O,F1O1S1,3.6,0.015,3.615,3.615,,3.615,3.63
280,ClS(*)(=O)=O,Cl1O2S1,4.5,0.005,4.505,4.505,,4.505,
281,ClS(*)=O,Cl1O1S1,3.7,0.005,3.705,3.705,,3.705,3.71
282,FC(F)(F)S(*)(=O)=O,C1F3O2S1,4,0.082596745,3.946666667,4,,3.946666667,
283,FC(F)(F)S(*)=O,C1F3O1S1,3.8,0.005,3.805,3.805,,3.805,
284,CC(C)S(*)(=O)=O,C3H7O2S1,3.1,0.045,3.145,3.145,,3.145,3.19
285,CC(C)S(*)=O,C3H7O1S1,2.4,0,2.4,2.4,,2.4,
286,NS(*)(=O)=O,H2N1O2S1,2.1,0.01,2.11,2.11,,2.11,
287,NS(*)=O,H2N1O1S1,1.3,0,1.3,1.3,,1.3,
288,CNS(*)(=O)=O,C1H4N1O2S1,2.1,0,2.1,2.1,,2.1,
289,CNS(*)=O,C1H4N1O1S1,1.3,0,1.3,1.3,,1.3,
290,CN(C)S(*)(=O)=O,C2H6N1O2S1,2.1,0.015,2.115,2.115,,2.115,2.13
291,CN(C)S(*)=O,C2H6N1O1S1,1.3,0,1.3,1.3,,1.3,
292,*S(=O)(=O)C1=CC=CC=C1,C6H5O2S1,3,0.106770783,2.85,2.79,,2.85,
293,*S(=O)C1=CC=CC=C1,C6H5O1S1,2.7,0.066833126,2.68,2.7,,2.68,
294,*S(=O)(=O)C=C,C2H3O2S1,3,1.66,1.34,1.34,,1.34,-0.32
295,COS(*)(=O)=O,C1H3O3S1,3.2,0,3.2,3.2,,3.2,
296,COS(*)=O,C1H3O2S1,2.3,0.025,2.325,2.325,,2.325,2.35
297,*S(=O)(=O)C#N,C1N1O2S1,5.4,0.005,5.405,5.405,,5.405,5.41
298,FC(F)S(*)(=O)=O,C1H1F2O2S1,3.2,0,3.2,3.2,3.2,3.2,3.2
